127.0.0.1 - - [28/Sep/2021:18:12:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:12:10 +0900] "GET /Practice_03/member1.html HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:12:10 +0900] "GET /Practice_03/image/background.jpg HTTP/1.1" 200 68756
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:12:10 +0900] "GET /Practice_03/image/login.png HTTP/1.1" 200 17604
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:12:12 +0900] "GET /Practice_03/member2.html HTTP/1.1" 200 2000
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:12:12 +0900] "GET /Practice_03/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:13:01 +0900] "GET /Practice_04/practice_04.html HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:13:14 +0900] "GET /Practice_04/practice_04.html HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:13:14 +0900] "GET /Practice_04/image/background.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:13:14 +0900] "GET /Practice_04/image/login.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:14:23 +0900] "GET /Practice_04/practice_04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:14:23 +0900] "GET /Practice_04/image/login.png HTTP/1.1" 200 17604
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:14:23 +0900] "GET /Practice_04/image/background.jpg HTTP/1.1" 200 68756
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:16:19 +0900] "GET /Practice_04/practice_04.html HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:16:19 +0900] "GET /Practice_04/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:16:19 +0900] "GET /Practice_04/image/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:17:21 +0900] "GET /Practice_04/practice_04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:17:21 +0900] "GET /Practice_04/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:17:21 +0900] "GET /Practice_04/image/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:18:44 +0900] "GET /Practice_04/practice_04.html HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:18:44 +0900] "GET /Practice_04/image/login.png HTTP/1.1" 200 17604
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:18:44 +0900] "GET /Practice_04/image/background.jpg HTTP/1.1" 200 68756
0:0:0:0:0:0:0:1 - - [28/Sep/2021:18:18:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
