127.0.0.1 - - [14/Oct/2021:15:49:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Oct/2021:15:49:44 +0900] "GET /LAB6_1/news.jsp HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:06:23 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:16:02 +0900] "GET /LAB6/include_test.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:16:15 +0900] "GET /LAB6/include_test.jsp HTTP/1.1" 200 1183
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:16:24 +0900] "GET /LAB6/include_test.jsp HTTP/1.1" 200 1183
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:16:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:19:10 +0900] "GET /LAB6/include_test.jsp HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:20:16 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:21:46 +0900] "GET /LAB6_1/calendar.jsp HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:22:31 +0900] "GET /LAB6_1/calendar.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:23:42 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2402
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:24:58 +0900] "GET /LAB6_1/calendar.jsp HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:25:21 +0900] "GET /LAB6_1/calendar.jsp HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:25:35 +0900] "GET /LAB6_1/calendar.jsp HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:30:11 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:31:23 +0900] "GET /LAB6_1/news.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:31:45 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:34:36 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:35:28 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:36:36 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:37:13 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:37:31 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2412
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:38:04 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2412
0:0:0:0:0:0:0:1 - - [14/Oct/2021:16:38:26 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2383
