127.0.0.1 - - [09/Nov/2021:20:06:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:06:06 +0900] "GET /LAB9/LAB9_0/calc.jsp HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:06:43 +0900] "POST /LAB9/LAB9_0/calc.jsp HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:14:15 +0900] "GET /LAB9/LAB9_0/calc.jsp HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:14:15 +0900] "GET /LAB9/LAB9_0/image/calculator.png HTTP/1.1" 200 48832
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:14:30 +0900] "GET /LAB9/LAB9_0/calc.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:14:30 +0900] "GET /LAB9/LAB9_0/image/calculator.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:15:33 +0900] "GET /LAB9/LAB9_0/calc.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:15:33 +0900] "GET /LAB9/LAB9_0/image/calculator.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:15:49 +0900] "GET /Practice_06/practice_06.html HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:15:54 +0900] "GET /Practice_06/practice_06.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:15:54 +0900] "GET /Practice_06/image/calculator.png HTTP/1.1" 200 48832
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:17:05 +0900] "GET /Practice_06/practice_06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:17:05 +0900] "GET /Practice_06/image/calculator.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:17:14 +0900] "GET /LAB9/LAB9_0/calc.jsp HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:17:14 +0900] "GET /LAB9/LAB9_0/image/calculator.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:17:52 +0900] "GET /LAB9/LAB9_0/calc.jsp HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:17:52 +0900] "GET /LAB9/LAB9_0/image/calculator.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2021:20:18:01 +0900] "GET /LAB9/LAB9_0/calc.jsp HTTP/1.1" 200 1100
