127.0.0.1 - - [17/Dec/2021:09:31:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Dec/2021:09:31:16 +0900] "GET /LAB13/LAB13_1/member.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [17/Dec/2021:09:31:16 +0900] "GET /LAB13/LAB13_1/image/checkbutton.jpg HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [17/Dec/2021:09:33:22 +0900] "GET /LAB13/LAB13_1/member.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [17/Dec/2021:09:33:22 +0900] "GET /LAB13/LAB13_1/image/checkbutton.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:09:33:22 +0900] "GET /LAB13/LAB13_1/image/background.jpg HTTP/1.1" 200 68756
0:0:0:0:0:0:0:1 - - [17/Dec/2021:09:45:41 +0900] "GET /LAB13/LAB13_1/member.jsp HTTP/1.1" 200 2679
0:0:0:0:0:0:0:1 - - [17/Dec/2021:09:45:41 +0900] "GET /LAB13/LAB13_1/image/checkbutton.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:09:45:41 +0900] "GET /LAB13/LAB13_1/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:09:45:43 +0900] "POST /LAB13/LAB13_1/print_login.jsp HTTP/1.1" 500 2587
0:0:0:0:0:0:0:1 - - [17/Dec/2021:09:46:11 +0900] "GET /LAB12/LAB12_2/login_form.jsp HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [17/Dec/2021:09:46:24 +0900] "GET /LAB12/LAB12_2/login_form.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [17/Dec/2021:09:46:31 +0900] "POST /LAB12/LAB12_2/print_login.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:00:22 +0900] "GET /LAB8_3/member3.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:00:28 +0900] "GET /LAB13/LAB13_1/member.jsp HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:00:37 +0900] "GET /LAB8_3/member3.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:00:38 +0900] "GET /LAB8_3/image/checkbutton.jpg HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:00:45 +0900] "POST /LAB8_3/LAB8_3.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:08:32 +0900] "GET /LAB13/LAB13_4/addr_form.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:08:49 +0900] "GET /LAB13/LAB13_4/addr_form.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:09:12 +0900] "GET /LAB13/LAB13_4/addr_form.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:09:32 +0900] "GET /LAB13/LAB13_4/addr_form.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:09:32 +0900] "GET /LAB13/LAB13_4/addr_form.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:10:04 +0900] "GET /LAB13/LAB13_4/addr_form.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:10:14 +0900] "GET /LAB13/LAB13_4/addr_form.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:10:26 +0900] "GET /LAB13/LAB13_4/addr_form.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:11:41 +0900] "GET /LAB13/LAB13_4/addr_form.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:38:37 +0900] "GET /LAB13/LAB13_1/print_login.jsp HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:38:55 +0900] "GET /LAB13/LAB13_1/print_login.jsp HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:44:11 +0900] "GET /LAB13/LAB13_1/member.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:44:11 +0900] "GET /LAB13/LAB13_1/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:44:11 +0900] "GET /LAB13/LAB13_1/image/checkbutton.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:44:44 +0900] "POST /LAB13/LAB13_1/print_login.jsp HTTP/1.1" 500 2525
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:45:58 +0900] "GET /LAB13/LAB13_1/member.jsp HTTP/1.1" 200 2679
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:45:58 +0900] "GET /LAB13/LAB13_1/image/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:45:58 +0900] "GET /LAB13/LAB13_1/image/checkbutton.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:10:46:09 +0900] "POST /LAB13/LAB13_1/print_login.jsp HTTP/1.1" 200 548
